text,intent
search my Gmail for emails from Ali,email
find emails from Ahmed,email
look for the invoice in my inbox,email
find the email Sarah sent me yesterday,email
search my mailbox for project updates,email
check Gmail for messages from John,email
send an email to Ali,email
email Ahmed about the meeting,email
send Sarah a message,email
write and send an email to my manager,email
send an email to the client,email
email my manager about the project,email
draft an email to the client,email
read my emails from today,email
check if I got any emails from the backend team,email
search my inbox for flight confirmation details,email
forward the latest email from HR to my team,email
compose a quick email to the client regarding the delay,email
draft a reply to Hasnain about the architecture review,email
find the email with the subject project kickoff,email
are there any unread emails in my inbox,email
send an email update to Hamza regarding the API endpoints,email
check Gmail for any security alert notifications,email
search my mail for contract attachments,email
write an email to client requesting feedback,email
find the email containing the Zoom link for today,email
email the design team with the updated specs,email
check if Heer sent me an email,email
filter inbox for emails from AWS support,email
send a follow up email to the candidate,email
find the receipt email from yesterday's order,email
draft an email confirming tomorrow's meeting,email
look for unread emails from my manager,email
search Gmail for subscription renewal notices,email
create a calendar event for tomorrow,calendar
schedule a meeting for tomorrow,calendar
add a meeting to my calendar,calendar
book a meeting with Ahmed,calendar
schedule a call with the client,calendar
what is on my calendar today,calendar
show my upcoming meetings,calendar
find my next calendar event,calendar
check my schedule for tomorrow,calendar
move my meeting to Friday,calendar
update my calendar event,calendar
cancel my meeting tomorrow,calendar
schedule a sync with the dev team for 3 PM,calendar
do I have any free time this afternoon,calendar
add a reminder on my calendar for my dentist appointment,calendar
reschedule my 10 AM call to 2 PM tomorrow,calendar
what events do I have scheduled for next Monday,calendar
book a 30 minute slot with Ali Usama,calendar
clear my calendar for this Friday,calendar
check my availability for a meeting at 4 PM,calendar
add a recurring calendar invite for sprint planning,calendar
list all events on my schedule for today,calendar
postpone my meeting with the manager to next week,calendar
is my 2 PM meeting still on the calendar,calendar
create an event titled project review for 5 PM,calendar
check if I am free tomorrow at noon,calendar
schedule a 1-on-1 meeting with Hasnain,calendar
show me all meetings scheduled for this week,calendar
remove the lunch event from my calendar,calendar
block out 2 hours on my calendar for deep work,calendar
read the document,docs
open and read this document,docs
tell me what's in this file,docs
read the contents of this document,docs
go through this document,docs
what does this document contain,docs
read this file for me,docs
analyze the document,docs
look through this document,docs
extract the information from this document,docs
read the uploaded document,docs
tell me what this document says,docs
create a Google Doc,docs
create a document with this information,docs
write a report in Google Docs,docs
add this information to my document,docs
update the document,docs
edit my Google Doc,docs
summarize the main points of this document,docs
create a new document titled Architecture Specification,docs
append this meeting summary to the existing doc,docs
extract action items from this report document,docs
read through the attached PDF doc and highlight key takeaways,docs
draft a research doc in Google Docs,docs
open the project proposal document and check for errors,docs
write a detailed summary into a new Google Doc,docs
update the requirements document with user feedback,docs
edit the introductory section of my Google Doc,docs
parse the text from this doc and give me a summary,docs
create a document for sprint retro notes,docs
read the policy document and answer my questions,docs
append these conclusions to the final report doc,docs
add this data to my spreadsheet,sheets
put this information in the sheet,sheets
add a new row to the spreadsheet,sheets
save these details in my sheet,sheets
update the spreadsheet with this information,sheets
add this record to the spreadsheet,sheets
write this data into the sheet,sheets
insert this information into my spreadsheet,sheets
add the new entry to the sheet,sheets
put these values in the spreadsheet,sheets
record this information in my sheet,sheets
add this to my Google Sheet,sheets
update my sheet with these details,sheets
enter this information into the spreadsheet,sheets
save this data to the sheet,sheets
append this information to my spreadsheet,sheets
add another row with these details,sheets
put the results into the sheet,sheets
read my spreadsheet,sheets
show me the data in my sheet,sheets
get the values from my spreadsheet,sheets
analyze the spreadsheet,sheets
append the new metrics to row 15 of the Google Sheet,sheets
calculate total revenue from column C in the spreadsheet,sheets
add candidate test scores into the evaluation sheet,sheets
read column A in the budget spreadsheet,sheets
update the price column in my inventory sheet,sheets
export these benchmark results directly into a Google Sheet,sheets
check cell B12 in the quarterly expenses spreadsheet,sheets
log these daily transaction figures into my sheet,sheets
read the data from the sales performance spreadsheet,sheets
add user feedback ratings to the tracking sheet,sheets
fetch rows 1 through 50 from the customer log sheet,sheets
send a message in Slack,slack
send a Slack message to Ali,slack
post this message in Slack,slack
send this to the team on Slack,slack
message my colleague on Slack,slack
send a DM to Ahmed,slack
send a direct message to Sarah,slack
post an update in the team channel,slack
post this in the engineering channel,slack
send this message to the Slack channel,slack
read the Slack channel history,slack
check what was posted in Slack,slack
look through the Slack messages,slack
find messages in Slack about the project,slack
search Slack for the latest update,slack
post the deployment release notes in the general Slack channel,slack
check if anyone mentioned me in the dev channel on Slack,slack
send a direct message to Pawan asking for the code link,slack
notify the team on Slack that the backend service is up,slack
search Slack channel history for database migration error logs,slack
send a DM on Slack to Hamza about the API spec,slack
post a message to the general channel on Slack,slack
read recent messages from the announcement channel,slack
send Slack message to team lead asking for review,slack
check Slack for unread messages in engineering,slack
drop a message in Slack regarding today's standup,slack
DM Hasnain on Slack to confirm the meeting time,slack
search the web for competitor pricing,research
search the internet for this information,research
look this up online,research
find information about this company,research
research the latest AI tools,research
search for the latest news,research
find information about this topic,research
look for competitors online,research
compare these companies,research
find the current pricing,research
search online for documentation,research
research this topic for me,research
find recent information about the market,research
look up the latest information,research
search the web,research
search the web for modern FastAPI and LangGraph tutorials,research
find the latest documentation for Model Context Protocol online,research
look up recent news about AI agent architecture,research
google search for the current stock price of Apple,research
research the difference between pgvector and FAISS online,research
search online for the official Slack API documentation,research
find online articles comparing Django REST Framework and FastAPI,research
look up current market trends in generative AI,research
search web for open source LLM benchmark results,research
find online references for OAuth2 authorization code flow,research
research top vector databases used in enterprise RAG systems,research
look up documentation for Python async background workers,research
hello,general
hi,general
how are you,general
what can you do,general
thanks,general
thank you,general
good morning,general
tell me a joke,general
who are you,general
what is your name,general
nice to meet you,general
help me,general
good evening,general
hey there assistant,general
how's it going today,general
what is your purpose,general
can you introduce yourself,general
thank you so much for your assistance,general
who developed you,general
good night,general
tell me something funny,general
what features do you support,general
I appreciate your help,general
hey,general
are you an AI agent,general
what can I ask you to do,general
